"Farm","Paddock","Mow","Herbicide","Buttercuppc","BareGrnd"
"Farm C","Dry","No Mow","Flumetsulam",5.75,40
"Farm C","Dry","No Mow","Aminopyralid",1.625,95
"Farm C","Dry","No Mow","Aminopyralid",2.125,125
"Farm C","Dry","No Mow","Thifensulfuron-methyl",1,60
"Farm C","Dry","No Mow","Thifensulfuron-methyl",4,70
"Farm C","Dry","No Mow","MCPA",2.75,88
"Farm C","Dry","No Mow","Nil",27.5,60
"Farm C","Dry","No Mow","Nil",37.5,55
"Farm C","Dry","No Mow","Thifensulfuron-methyl",2,70
"Farm C","Dry","No Mow","Flumetsulam",3.75,90
"Farm C","Dry","No Mow","MCPB+bentazone",1.25,190
"Farm C","Dry","No Mow","MCPA",1.75,170
"Farm C","Dry","No Mow","Flumetsulam",5.25,290
"Farm C","Dry","No Mow","Aminopyralid+triclopyr",0,275
"Farm C","Dry","No Mow","Aminopyralid+triclopyr",0.005,155
"Farm C","Dry","No Mow","Aminopyralid+triclopyr",0,90
"Farm C","Dry","No Mow","MCPB",4,175
"Farm C","Dry","No Mow","MCPB+bentazone",2.75,185
"Farm C","Dry","No Mow","MCPB",6.75,90
"Farm C","Dry","No Mow","MCPB",7.5,95
"Farm C","Dry","No Mow","Aminopyralid",0.25,75
"Farm C","Dry","No Mow","MCPA",0.875,115
"Farm C","Dry","No Mow","Nil",21.5,43
"Farm C","Dry","No Mow","MCPB+bentazone",0.75,80
"Farm E","Wet","Mow","Flumetsulam",3.75,220
"Farm E","Wet","Mow","Flumetsulam",4.75,180
"Farm E","Wet","Mow","MCPB",1.6,175
"Farm E","Wet","Mow","Aminopyralid",0,265
"Farm E","Wet","Mow","Aminopyralid",0,215
"Farm E","Wet","Mow","Nil",1.25,215
"Farm E","Wet","Mow","Thifensulfuron-methyl",1,240
"Farm E","Wet","Mow","Aminopyralid+triclopyr",0,240
